                Strain                             virus                accession     date        region    country   division        city        db   segment    authors                        url
  SARS-CoV-2/human/USA/19191535/2021             SARS-CoV-2            QZX66581.1   4-7-2021  North America   USA     Illionis      Chicago    genbank  genome Kadkol et al https://www.ncbi.nlm.nih.gov/protein/QZX66581.1
        SARS coronavirus Tor2                    SARS-CoV             YP_009825057. 13-4-2003 North America  Canada    Canada       Toronta    genbank  genome  He,R et al  https://www.ncbi.nlm.nih.gov/protein/YP_009825057.1
        BtCoV/BM48-31/BGR/2008                Bat coronavirus          ADK66846.1   1-1-2008  Southeast EuroBulgaria  Bulgaria      Bulgaria   genbank  genome Drexler,J.F. https://www.ncbi.nlm.nih.gov/protein/ADK66846.1
        bat/Yunnan/MlYN20/2020                Bat coronavirus          QWN56406.1   3-6-2020      Asian      China      China        Taián     genbank  genome Zhou,H et al https://www.ncbi.nlm.nih.gov/protein/QWN56406.1
          Cambridge_Bay_2017                 Goose coronavirus        YP_009755904. 1-8-2017  North America  Canada    Canada        Canada    genbank  genome  Papineau,A. https://www.ncbi.nlm.nih.gov/protein/YP_009755904.1
                MP789                       Pangolin coronavirus       QIG55950.1   29-3-2019      Asia      China      China      Guangzhou   genbank  genome  Liu,P et al https://www.ncbi.nlm.nih.gov/protein/QIG55950.1
            CCoV-HuPn-2018                   Canine coronavirus        QVL91818.1   1-1-2017    South Asia  Malaysia  Malaysia      Malaysia   genbank  genome Vlasova,A.N. https://www.ncbi.nlm.nih.gov/protein/QVL91818.1
               civet020                 Asian palm civet coronavirus   AAU04669.1   11-3-2004      Asia      China  Southern ChinSouthern Chinagenbank  genome Wang,M.et al https://www.ncbi.nlm.nih.gov/protein/AAU04669.1
           Cat 1 Karlslunde                  Feline coronavirus        ASU62506.1   1-2-2015   West Europe  Denmark    Denmark      Denmark    genbank  genome Ryt-Hansen,P.https://www.ncbi.nlm.nih.gov/protein/ASU62506.1
          french isolate RM4          Porcine respiratory coronavirus  CAA80842.1   19-7-1993     Europe     France    France        France    genbank  genome Rasschaert,D https://www.ncbi.nlm.nih.gov/protein/CAA80842.1
              Lijiang-71                      Rat coronavirus          QOE77291.1   1-1-2014       Asia      China      China       Beijing    genbank  genome  Lin,X et al https://www.ncbi.nlm.nih.gov/protein/QOE77291.1
             WCS_qunjing              Suncus murinus alphacoronavirus  UBB42483.1   1-1-2016       Asia      China      China        China     genbank  genome Tan,Z. et al https://www.ncbi.nlm.nih.gov/protein/UBB42483.1
